Company,Headline,Description,Time,pdf_link,bert_sentiment,confidence,final_sentiment
ZIMLAB,General Updates,Zim Laboratories Limited has informed the Exchange about General Updates,03-Jun-2025 18:18:47,https://nsearchives.nseindia.com/corporate/ZIMLAB_03062025181510_DisclosureReg30Letterofweblink.pdf,-0.9999689490268793,0.9999817609786987,Negative
PARKHOTELS,Analysts/Institutional Investor Meet/Con. Call Updates,Apeejay Surrendra Park Hotels Limited has informed the Exchange about Transcript,03-Jun-2025 18:17:28,https://nsearchives.nseindia.com/corporate/ASPHL_03062025181553_Intimation_Transcript.pdf,-0.999990086114849,0.9999922513961792,Negative
TEJASNET,Shareholders meeting,Tejas Networks Limited has informed the Exchange regarding Annual Report 2024-25 and Notice of Annual General Meeting,03-Jun-2025 18:17:24,https://nsearchives.nseindia.com/corporate/TEJASNET_03062025181654_Annual_report.pdf,-0.9999924367812127,0.9999947547912598,Negative
JNKINDIA,Analysts/Institutional Investor Meet/Con. Call Updates,"JNK India Limited has informed the Exchange about Transcript:Pursuant to Regulation 30 of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015. Please find enclosed transcript of Q4FY25 Earning call held on Friday, 30th May, 2025 at 12.00 PM.",03-Jun-2025 18:16:20,https://nsearchives.nseindia.com/corporate/JNKINDIA23_03062025181511_Q4_JNK_Investor_Meet_Transcript_signed.pdf,-0.9999765277311781,0.9999830722808838,Negative
SEPC,Copy of Newspaper Publication,The Company hereby submits the pre-issue paper advertisement copies pertaining to the on-going Rights Issue. Detailed letter is enclosed.,03-Jun-2025 18:13:55,https://nsearchives.nseindia.com/corporate/SHRIRAMEPC_03062025181326_PreissueadvertisementCoveringletter.pdf,-0.9999929368976836,0.999994158744812,Negative
SHYAMMETL,Analysts/Institutional Investor Meet/Con. Call Updates,Shyam Metalics And Energy Limited has informed the Exchange about Schedule of meet,03-Jun-2025 18:13:23,https://nsearchives.nseindia.com/corporate/SHYAMMETL_03062025180805_OutcomeofInvestorMeet362025.pdf,-0.9999930035962734,0.9999957084655762,Negative
PARADEEP,Shareholders meeting,"Paradeep Phosphates Limited has submitted the Exchange a copy Srutinizers report of  Court Convened General Meeting held on Jun 02, 2025. Further, the company has informed the Exchange regarding voting results.",03-Jun-2025 18:13:06,https://nsearchives.nseindia.com/corporate/PPLTD_03062025180922_outcomeoftheResults.pdf,-0.999994976600874,0.9999967813491821,Negative
ENDURANCE,Updates,"Endurance Technologies Limited informs you that a meeting with Analyst / Institutional Investors has been Scheduled on 6th June, 2025 between 9.00 a.m. to 4.30 p.m.",03-Jun-2025 18:12:50,https://nsearchives.nseindia.com/corporate/ENDURANCE_03062025181217_2025_06_03IntimationofmeetingwithAnalystInstitutionalInvestors06062025.pdf,-0.99999325201793,0.9999957084655762,Negative
ALEMBICLTD,Copy of Newspaper Publication,Alembic Limited has informed the Exchange about Copy of Newspaper Publication,03-Jun-2025 18:12:18,https://nsearchives.nseindia.com/corporate/ALEMBICLTD_03062025171523_AL_Newspaper_Publication_Advance_Notice_AGM.pdf,-0.9999827086189725,0.9999877214431763,Negative
PEL,Copy of Newspaper Publication,"Intimation under Regulation 30 of the SEBI Listing Obligations and Disclosure Requirements, Regulations, 2015 - Newspaper Advertisement for information regarding 78th AnnualGeneral Meeting and Record Date for final dividend",03-Jun-2025 18:10:10,https://nsearchives.nseindia.com/corporate/PEL_03062025180956_Intimation_Pre_AGM_Advertisement_sd.pdf,-0.9999975489510575,0.9999980926513672,Negative
FEDFINA,Analysts/Institutional Investor Meet/Con. Call Updates,Fedbank Financial Services Limited has informed the Exchange about Schedule of meet,03-Jun-2025 18:08:57,https://nsearchives.nseindia.com/corporate/FEDFINA_03062025180847_Investorcall_03062025_Signed.pdf,-0.9999829091957508,0.9999901056289673,Negative
KALAMANDIR,Analysts/Institutional Investor Meet/Con. Call Updates,Sai Silks (Kalamandir) Limited has informed the Exchange about Schedule of meet,03-Jun-2025 18:08:02,https://nsearchives.nseindia.com/corporate/SSKL_03062025180751_InvMeet_0606254pm.pdf,-0.9999905599891008,0.9999939203262329,Negative
POLYCAB,General Updates,"Polycab India Limited has informed the Exchange regarding ""Intimation under Regulation 30 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015 - Analyst(s) / Investor(s) Meet""",03-Jun-2025 18:07:20,https://nsearchives.nseindia.com/corporate/POLYCAB_03062025180710_Intimationtostockexchange.pdf,-0.999991345876424,0.9999940395355225,Negative
EIHAHOTELS,Copy of Newspaper Publication,EIH Associated Hotels Limited has informed the Exchange about Copy of Newspaper Publication,03-Jun-2025 18:04:36,https://nsearchives.nseindia.com/corporate/EIHAHOTELS_03062025180426_EIHASTX_IEPF_NWZPAPER_03062025.pdf,-0.9999957746550763,0.9999973773956299,Negative
PILITA,Copy of Newspaper Publication,PIL ITALICA LIFESTYLE LIMITED has informed the Exchange about Copy of Newspaper Publication,03-Jun-2025 18:03:52,https://nsearchives.nseindia.com/corporate/PILITA_03062025180324_Newspaper.pdf,-0.9999880891532484,0.9999905824661255,Negative
ATGL,General Updates,Adani Total Gas Limited has informed the Exchange about General Updates about the change in Senior Management Personnel,03-Jun-2025 18:03:13,https://nsearchives.nseindia.com/corporate/ATGL2024_03062025180244_ATGL_Intimation_Change_SMP_030625.pdf,-0.9999380116296379,0.9999641180038452,Negative
AMBER,Analysts/Institutional Investor Meet/Con. Call Updates,"Amber Enterprises India Limited has informed the Exchange about Schedule of meet with Investors/ Analysts, to be held physically on 9th June 2025 in Gurugram.",03-Jun-2025 18:00:55,https://nsearchives.nseindia.com/corporate/AMBER_03062025175832_Intimation_Investor_Meet_03062025.pdf,-0.9999964507184131,0.9999974966049194,Negative
SADHNANIQ,Change in Company Secretary/Compliance Officer,Sadhana Nitrochem Limited has informed the Exchange about Change in Company Secretary/Compliance Officer,03-Jun-2025 18:00:42,https://nsearchives.nseindia.com/corporate/SNCL_03062025175915_Aditya_Shelke_Appointment_Letter.pdf,-0.9999633252773492,0.9999791383743286,Negative
ENDURANCE,Updates,"Endurance Technologies Limited has informed the Exchange regarding violation to the Company's Code of Conduct for Prevention of Insider Trading under the SEBI (Prohibition of Insider Trading) Regulations, 2015",03-Jun-2025 18:00:34,https://nsearchives.nseindia.com/corporate/ENDURANCE_03062025175805_Intimation.pdf,-0.9994902808975894,0.9997428059577942,Negative
LAURUSLABS,Updates,Laurus Labs Limited has informed the Exchange regarding 'Business Responsibility and Sustainability Reporting (BRSR)'.,03-Jun-2025 18:00:32,https://nsearchives.nseindia.com/corporate/LAURUSLABS_03062025180015_BRSR202425.pdf,-0.9999897937482274,0.9999939203262329,Negative
PEL,Copy of Newspaper Publication,"Intimation under Regulations 30 and 51 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015 - Newspaper Advertisement regarding dispatch of Notice to Equity Shareholders and Secured Creditors pertaining to Hon ble National Company LawTribunal Convened Meeting",03-Jun-2025 17:57:52,https://nsearchives.nseindia.com/corporate/PEL_03062025175716_Regulations_30_and_51_Newspaper_Advt_PEL_sd.pdf,-0.99997193123545,0.9999829530715942,Negative
NHPC,General Updates,"NHPC Limited has informed the Exchange that NHPC Limited will participate in non-deal road show and meet institutional investors from 9th June, 2025 to 16th June, 2025 in various cities of the United States of America (USA). The other details are given in the attached letter.",03-Jun-2025 17:55:54,https://nsearchives.nseindia.com/corporate/NHPC_03062025175449_Intimation_Roadshow_USA.pdf,-0.9999739967328196,0.9999750852584839,Negative
NIRAJ,Updates,"Niraj Cement Structurals Limited has informed the Exchange regarding 'Receipt of Trading Approval of 25,60,000 Equity Shares of Rs. 10/- each allotted pursuant to conversion of warrants issued on preferential basis'.",03-Jun-2025 17:55:42,https://nsearchives.nseindia.com/corporate/NIRAJ_03062025175534_Intimation.pdf,-0.9999945043057323,0.9999961853027344,Negative
INDGN,Analysts/Institutional Investor Meet/Con. Call Updates,Indegene Limited has informed the Exchange about Schedule of meet,03-Jun-2025 17:54:54,https://nsearchives.nseindia.com/corporate/INDEGENE_03062025175443_Intimation_Reg30_signed.pdf,-0.999993882795934,0.9999961853027344,Negative
RPSGVENT,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","RPSG VENTURES LIMITED has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018",03-Jun-2025 17:54:21,https://nsearchives.nseindia.com/corporate/RPSGVENT_03062025175413_SE03062025RVL_SIGNED.pdf,-0.9999946658493855,0.999996542930603,Negative
INDUSINDBK,Analysts/Institutional Investor Meet/Con. Call Updates,Indusind Bank Limited has informed the Exchange about Presentation,03-Jun-2025 17:53:23,https://nsearchives.nseindia.com/corporate/INDUSINDBK2_03062025175251_Analyst_Meet_Outcome_June_3_2025.pdf,-0.9999315829099942,0.9999539852142334,Negative
VSSL,Press Release,"Vardhman Special Steels Limited has informed the Exchange regarding a press release dated Jun 03, 2025, titled ""Media/ Press Release dated 03.06.2025"".",03-Jun-2025 17:53:14,https://nsearchives.nseindia.com/corporate/VSSL_03062025174734_VSSL_MEDIA_RELEASE.pdf,-0.9999828086911293,0.9999895095825195,Negative
SUDARSCHEM,General Updates,Sudarshan Chemical Industries Limited has informed the Exchange about General Updates,03-Jun-2025 17:51:27,https://nsearchives.nseindia.com/corporate/SUDARSCHEM_03062025175115_SubmissionofapplicationwithSEs03062025signed.pdf,-0.9998494287992798,0.9998739957809448,Negative
BANKINDIA,Updates,Bank Of India has informed the Exchange regarding 'notice of 29th Annual General Meetings'.,03-Jun-2025 17:51:04,https://nsearchives.nseindia.com/corporate/BANKOFINDIA_03062025175051_AGMNotice.pdf,-0.999996193756715,0.9999967813491821,Negative
SAILIFE,Analysts/Institutional Investor Meet/Con. Call Updates,Sai Life Sciences Limited has informed the Exchange about Schedule of meet,03-Jun-2025 17:51:02,https://nsearchives.nseindia.com/corporate/SAILIFE_03062025175045_Sai_Meeting_Intimation_C-Worldwide_AM.pdf,-0.9999974542176915,0.9999984502792358,Negative
SAILIFE,Analysts/Institutional Investor Meet/Con. Call Updates,Sai Life Sciences Limited has informed the Exchange about Schedule of meet,03-Jun-2025 17:51:02,https://nsearchives.nseindia.com/corporate/SAILIFE_03062025174939_Sai_Meeting_Intimation_Emkay.pdf,-0.9999967850213807,0.9999979734420776,Negative
CREDITACC,Analysts/Institutional Investor Meet/Con. Call Updates,CREDITACCESS GRAMEEN LIMITED has informed the Exchange about Schedule of meet,03-Jun-2025 17:50:58,https://nsearchives.nseindia.com/corporate/CREDITACC_03062025175036_03062025_InvesterCall_Intimation.pdf,-0.9999824524984433,0.9999887943267822,Negative
TARSONS,Analysts/Institutional Investor Meet/Con. Call Updates,Tarsons Products Limited has informed the Exchange about Transcript,03-Jun-2025 17:47:05,https://nsearchives.nseindia.com/corporate/TARSONS_03062025174656_SE_Transcripts_Q4_FY25.pdf,-0.9999849794885449,0.9999886751174927,Negative
SHAH,Updates,"Shah Metacorp Limited has informed the Exchange regarding 'Clarification - pursuant to corrigendum and Reply to NSE dated May 06, 2025 towards NSE Observation dated May 21, 2025'.",03-Jun-2025 17:47:00,https://nsearchives.nseindia.com/corporate/GAL_03062025174357_Annexure_A.pdf,-0.9999826599905646,0.9999871253967285,Negative
SILGO,Outcome of Board Meeting,"Silgo Retail Limited has informed the Exchange regarding Outcome of Board Meeting held on Jun 03, 2025.",03-Jun-2025 17:44:53,https://nsearchives.nseindia.com/corporate/SILGO_03062025174418_Outcome_BM_03062025.pdf,-0.9999780492239552,0.999981164932251,Negative
PRAJIND,Press Release,"Praj Industries Limited has informed the Exchange regarding a press release dated Jun 03, 2025, titled ""Praj, IATA, and ISMA Join Forces to Advance SAF CarbonAssessment and Certification in India"".",03-Jun-2025 17:44:25,https://nsearchives.nseindia.com/corporate/PRAJIND_03062025174420_PressRelease03062025.pdf,-0.9999681248937122,0.9999812841415405,Negative
KANPRPLA,Outcome of Board Meeting,"Kanpur Plastipack Limited has submitted to the Exchange, the financial results for the period ended March 31, 2025.",03-Jun-2025 17:44:21,https://nsearchives.nseindia.com/corporate/KANPRPLA_03062025173649_Outcome_BoardMeeting_financialResults_searchable.pdf,-0.9999899335646205,0.9999921321868896,Negative
KANSAINER,Copy of Newspaper Publication,"In terms of the provisions of Regulation 47 read with Regulation 30 of Securities and ExchangeBoard of India (Listing Obligations and Disclosure Requirements) Regulations, 2015, we are enclosing herewith the newspaper cuttings of the Notice published, in pursuance of the Circular No. 10/2022 dated 28th December, 2022 read with Circular No. 20/2020 dated 5th May, 2020, and all other relevant Circulars issued by the Ministry of Corporate Affairs, in Business Standard (English) on 3rd June, 2025 in all editions across India (copy of Mumbai Edition is attached) and in Sakal (Marathi) published in Mumbai edition on 3rd June, 2025, intimating that the 105th Annual General Meeting of Kansai Nerolac Paints Limited will be held on Monday, 30th June, 2025 at 11 a.m. (IST), through Video Conferencing or Other Audio Visual Means.",03-Jun-2025 17:43:01,https://nsearchives.nseindia.com/corporate/KANSAINER_03062025174155_SE_intimation_pre-dispatch_newspaper_signed.pdf,-0.9999949155319428,0.9999970197677612,Negative
ASHOKLEY,General Updates,Ashok Leyland Limited has informed the Exchange about General Updates,03-Jun-2025 17:35:31,https://nsearchives.nseindia.com/corporate/ASHOKLEY_03062025173408_15Optare_GBP25mn.pdf,-0.9999904802448327,0.9999947547912598,Negative
MANUGRAPH,Copy of Newspaper Publication,Manugraph India Limited has informed the Exchange about Copy of Newspaper Publication relating to IEPF,03-Jun-2025 17:33:24,https://nsearchives.nseindia.com/corporate/MANUGRAPH_03062025173317_MIL_SE_IEPF_2025_NPs_with_CL.pdf,-0.9999566817878076,0.999975323677063,Negative
DCI,Analysts/Institutional Investor Meet/Con. Call Updates,Dc Infotech And Communication Limited has informed the Exchange about Transcript,03-Jun-2025 17:32:37,https://nsearchives.nseindia.com/corporate/DCI_03062025172708_Transcript_merged.pdf,-0.9999252252255246,0.9999338388442993,Negative
DABUR,Analysts/Institutional Investor Meet/Con. Call Updates,Dabur India Limited has informed the Exchange about Schedule of meet,03-Jun-2025 17:31:57,https://nsearchives.nseindia.com/corporate/DABUR_03062025173130_LETTER.pdf,-0.9999922991548829,0.9999949932098389,Negative
EIHOTEL,Copy of Newspaper Publication,EIH Limited has informed the Exchange about Copy of Newspaper Publication,03-Jun-2025 17:30:17,https://nsearchives.nseindia.com/corporate/EIHOTEL01_03062025172725_EIHSTX_IEPF_NWZPAPER_03062025.pdf,-0.9999689295455028,0.999983549118042,Negative
PTC,Analysts/Institutional Investor Meet/Con. Call Updates,PTC India Limited has informed the Exchange about Transcript,03-Jun-2025 17:30:13,https://nsearchives.nseindia.com/corporate/PTC_03062025172943_TranscriptPTCSigned.pdf,-0.9999879304514252,0.9999912977218628,Negative
LICI,Analysts/Institutional Investor Meet/Con. Call Updates,Life Insurance Corporation Of India has informed the Exchange about Transcript,03-Jun-2025 17:28:50,https://nsearchives.nseindia.com/corporate/LIC_BOARD_03062025172839_Transcript_of_the_Analyst_Investors_Meet.pdf,-0.999974985940753,0.9999805688858032,Negative
STYRENIX,Analysts/Institutional Investor Meet/Con. Call Updates,Styrenix Performance Materials Limited has informed the Exchange about Schedule of meet,03-Jun-2025 17:27:21,https://nsearchives.nseindia.com/corporate/INEOSSTYRO_03062025172617_IntimationforInvestorcall03June2025.pdf,-0.9999869693751862,0.9999920129776001,Negative
SPARC,General Updates,Sun Pharma Advanced Research Company Limited has informed the Exchange about  Updates on Vibozilimod (SCD-044),03-Jun-2025 17:27:20,https://nsearchives.nseindia.com/corporate/SPARC_03062025172654_Vibozilimod_Final.pdf,-0.9999101506136867,0.9999135732650757,Negative
ZUARIIND,Analysts/Institutional Investor Meet/Con. Call Updates,ZUARI INDUSTRIES LIMITED has informed the Exchange about Transcript,03-Jun-2025 17:26:39,https://nsearchives.nseindia.com/corporate/ZUARIGLOB_03062025172548_TranscriptEarningscall28052025.pdf,-0.9999747856190879,0.9999822378158569,Negative
CANFINHOME,Record Date,Can Fin Homes Limited has informed the Exchange that Record date for the purpose of Pament of Interest and redemption of NCDs  is 13-Jun-2025.,03-Jun-2025 17:25:42,https://nsearchives.nseindia.com/corporate/CANFINHOME_03062025172529_CANFINHOMErecorddate13062025.pdf,-0.9999939444296615,0.9999957084655762,Negative
YESBANK,Allotment of Securities,"Yes Bank Limited has informed the Exchange regarding allotment of 1835001 securities pursuant to ESOP/ESPS at its meeting held on Jun 03, 2025",03-Jun-2025 17:25:34,https://nsearchives.nseindia.com/corporate/YESBANK_03062025172517_StockExchanageIntimation_ESOP_Allotment_03062025_signed.pdf,-0.999994108013766,0.9999953508377075,Negative
ETHOSLTD,General Updates,"Ethos Limited has informed the Exchange that the Board of Directors of the Company in its meeting held today i.e. June 3, 2025, has, inter-alia, considered and approved Raising of funds through the issuance of equity shares of face value Rs. 10 each by way of rights issue for an amount not exceeding Rs 410 Crore",03-Jun-2025 17:25:15,https://nsearchives.nseindia.com/corporate/ETHOS_03062025172426_SE_Outcome.pdf,-0.9999363123602052,0.9999436140060425,Negative
DCXINDIA,Analysts/Institutional Investor Meet/Con. Call Updates,Dcx Systems Limited has informed the Exchange about Transcript,03-Jun-2025 17:24:26,https://nsearchives.nseindia.com/corporate/DCX_2022_03062025172411_CoveringLetter-Earnings_Call_Transcript.pdf,-0.999976159056132,0.9999817609786987,Negative
ALPSINDUS,Corporate Insolvency Resolution Process,"Alps Industries Limited has informed the Exchange about the Outcome of the Ninth Meeting of Committee of Creditors held on May 19, 2025 and May 20, 2025.",03-Jun-2025 17:23:07,https://nsearchives.nseindia.com/corporate/ALPSINDUS_03062025172250_intimation_letter.pdf,-0.999977920037054,0.9999845027923584,Negative
ETHOSLTD,Outcome of Board Meeting,"Ethos Limited has informed the Exchange regarding  Board meeting held on Jun 03, 2025  inter-alia, to considered and approved Raising of funds through the issuance of equity shares of face value Rs 10 each by way of rights issue for an amount not exceeding Rs 410 Crore.",03-Jun-2025 17:19:11,https://nsearchives.nseindia.com/corporate/ETHOS_03062025171849_SE_Outcome.pdf,-0.9999363123602052,0.9999436140060425,Negative
ABCAPITAL,Analysts/Institutional Investor Meet/Con. Call Updates,Aditya Birla Capital Limited has informed the Exchange about the Investor meet.,03-Jun-2025 17:18:20,https://nsearchives.nseindia.com/corporate/rsrai_03062025171554_ABCL_Analyst_Meet_03062025_Outcomesigned.pdf,-0.9999961788985843,0.9999970197677612,Negative
TRU,Shareholders meeting,"TruCap Finance Limited has informed the Exchange regarding Notice of Extraordinary General Meeting to be held on June 25, 2025.",03-Jun-2025 17:18:10,https://nsearchives.nseindia.com/corporate/Trucap_03062025171801_Intimation_of_SE_Extra-Ordinary_General_Meeting.pdf,-0.9999347098128055,0.9999496936798096,Negative
GENCON,Outcome of Board Meeting,"Revised Outcome - We'd like to inform you that, upon subsequent review, we identified a minor clerical/typographical error in the financial statements that were submitted to the stock exchange via our letter dated May 29, 2025. While the error was purely clerical in nature and unintentional, we remain committed to upholding the highest standards of accuracy, transparency, and corporate governance. Hence, with this letter, we are submitting the revised financial statementﾠofﾠtheﾠCompany.",03-Jun-2025 17:17:57,https://nsearchives.nseindia.com/corporate/GENCON_03062025171311_Outcome_Revised.pdf,-0.9999864038968553,0.9999912977218628,Negative
INFY,Updates,Infosys Limited has informed the Exchange regarding 'Investor Conference'.,03-Jun-2025 17:16:17,https://nsearchives.nseindia.com/corporate/Infosys_03062025171557_SEfiling_InvestorConference_03062025.pdf,-0.9999741894807812,0.9999827146530151,Negative
SUMICHEM,Analysts/Institutional Investor Meet/Con. Call Updates,Sumitomo Chemical India Limited has informed the Exchange about Transcript,03-Jun-2025 17:15:10,https://nsearchives.nseindia.com/corporate/SUMICHEM_03062025171353_TranscriptofAnalystMeet28052025.pdf,-0.9999704248396029,0.9999737739562988,Negative
SIGNPOST,Outcome of Board Meeting,"Signpost India Limited has informed the Exchange regarding  Board meeting held on Jun 03, 2025.",03-Jun-2025 17:14:52,https://nsearchives.nseindia.com/corporate/SIGNPOST_03062025171410_OutcomeofBoardMeeting.pdf,-0.9999906979828665,0.9999929666519165,Negative
SURYODAY,Analysts/Institutional Investor Meet/Con. Call Updates,Suryoday Small Finance Bank Limited has informed the Exchange about Investor Meet Pre-intimation,03-Jun-2025 17:14:29,https://nsearchives.nseindia.com/corporate/SURYODAY_03062025171158_SSFB_Investor_Meet_Pre_Intimation_Jun_06_2025_sd.pdf,-0.9999845626794013,0.9999896287918091,Negative
JSWENERGY,General Updates,JSW Energy Limited has informed the Exchange about assignment of credit rating - JSW Renew Energy Ten Limited,03-Jun-2025 17:13:18,https://nsearchives.nseindia.com/corporate/RITESHJSWEL_03062025171211_LettertobsenseJSWRE10L.pdf,-0.9999844925232537,0.99998939037323,Negative
VESUVIUS,Updates,Vesuvius India Limited has informed the Exchange regarding 'New ISIN of Equity Shares of the Company'.,03-Jun-2025 17:12:05,https://nsearchives.nseindia.com/corporate/VESUVIUS_03062025170333_VIL_Intimation_for_new_ISIN_03062025.pdf,-0.9999966797272464,0.9999978542327881,Negative
SUNPHARMA,Press Release,"Sun Pharmaceutical Industries Limited has informed the Exchange regarding a press release dated Jun 03, 2025, titled ""Sun Pharma Announces Top-Line Results from the Phase 2 Clinical Trials Evaluating SCD-044 for Moderate to Severe Psoriasis and Atopic Dermatitis"".",03-Jun-2025 17:11:17,https://nsearchives.nseindia.com/corporate/SUNPHARMA456_03062025171103_IntimationSE20250603_Top-line_Results_of_SCD-044_Signed.pdf,-0.9999958407050826,0.9999964237213135,Negative
INFY,Copy of Newspaper Publication,Infosys Limited has informed the Exchange about Copy of Newspaper Publication,03-Jun-2025 17:10:54,https://nsearchives.nseindia.com/corporate/Infosys_03062025171042_SEfiling_advinnewspaper1.pdf,-0.9999710878482801,0.9999847412109375,Negative
TECHNOE,Bagging/Receiving of orders/contracts,Techno Electric & Engineering Company Limited has informed the Exchange about Bagging/Receiving of orders/contracts,03-Jun-2025 17:07:45,https://nsearchives.nseindia.com/corporate/TECHNOE_03062025170727_Rg30AwardofOrder03062025Revised_ocred.pdf,-0.999994089833308,0.999996542930603,Negative
COMSYN,Updates,"Commercial Syn Bags Limited has informed the Exchange regarding 'Receipt of Dividend from Associate Company, Smartlift Bulk Packaging Limited, UK.'.",03-Jun-2025 17:07:11,https://nsearchives.nseindia.com/corporate/COMSYN1984_03062025170651_SE-Corporate_announcement_Reg_30_Final.pdf,-0.9999698876708862,0.999980092048645,Negative
SHYAMMETL,Shareholders meeting,Shyam Metalics And Energy Limited has informed the Exchange regarding Notice of Postal Ballot,03-Jun-2025 17:07:07,https://nsearchives.nseindia.com/corporate/SHYAMMETL_03062025165410_SEIntimation362025.pdf,-0.9999882915606122,0.9999916553497314,Negative
DEEPAKNTR,Analysts/Institutional Investor Meet/Con. Call Updates,Deepak Nitrite Limited has informed the Exchange about Transcript,03-Jun-2025 17:07:01,https://nsearchives.nseindia.com/corporate/DEEPAKNTR_03062025170633_NSECONCALLTRANSCRIPT03062025.pdf,-0.9999365923531514,0.99994957447052,Negative
CENTEXT,General Updates,Century Extrusions Limited has informed the Exchange about General Updates,03-Jun-2025 17:04:58,https://nsearchives.nseindia.com/corporate/CENTEXT_03062025170450_OutcomeofBoardMeeting03062025.pdf,-0.9999846680316296,0.9999902248382568,Negative
CENTEXT,Change in Director(s),Century Extrusions Limited has informed the Exchange regarding Change in Director(s) of the company.,03-Jun-2025 17:03:32,https://nsearchives.nseindia.com/corporate/CENTEXT_03062025170319_OutcomeofBoardMeeting03062025.pdf,-0.9999846680316296,0.9999902248382568,Negative
NKIND,Updates,NK Industries Limited has informed the Exchange regarding 'Machine Readable Outcome'.,03-Jun-2025 17:01:35,https://nsearchives.nseindia.com/corporate/NKIND_03062025170122_Outcome_of_Board_Meeting.pdf,-0.999994465241457,0.9999960660934448,Negative
CENTEXT,Outcome of Board Meeting,"Century Extrusions Limited has informed the Exchange regarding  Board meeting held on Jun 03, 2025.",03-Jun-2025 17:00:33,https://nsearchives.nseindia.com/corporate/CENTEXT_03062025170020_OutcomeofBoardMeeting03062025.pdf,-0.9999846680316296,0.9999902248382568,Negative
JOCIL,Credit Rating- Revision,Jocil Limited has informed the Exchange about Credit Rating- Revision,03-Jun-2025 16:59:32,https://nsearchives.nseindia.com/corporate/JOCIL_03062025165746_RatingRevisionLetter.pdf,-0.9999608028138027,0.9999780654907227,Negative
SCILAL,Updates,Shipping Corporation Of India Land And Assets Limited has informed the Exchange regarding 'Board Comments on fine levied by the Exchange'.,03-Jun-2025 16:59:16,https://nsearchives.nseindia.com/corporate/SCILAL_03062025165718_Q3EintimationforFinesNSEsigned.pdf,-0.9999073434082675,0.9999464750289917,Negative
ARROWGREEN,Disclosure under SEBI Takeover Regulations,"Arrow Greentech Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011.",03-Jun-2025 16:57:13,https://nsearchives.nseindia.com/corporate/team_sandeshc_06052025120827_Declaration5.pdf,-0.9999121869077499,0.9999434947967529,Negative
SUTLEJTEX,Disclosure under SEBI Takeover Regulations,"SIL Investments Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011.",03-Jun-2025 16:57:11,https://nsearchives.nseindia.com/corporate/team_sandeshc_06052025121540_SIL_Sutlej.pdf,-0.9998757496723556,0.9999322891235352,Negative
SUTLEJTEX,Disclosure under SEBI Takeover Regulations,"Yashovardhan Investment & Trading Company Limited For and on behalf of the other Promoters and Person Acting in Concert of the Company has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011.",03-Jun-2025 16:57:07,https://nsearchives.nseindia.com/corporate/team_sandeshc_16052025115051_15.pdf,0.0,0.0,Neutral
SUTLEJTEX,Disclosure under SEBI Takeover Regulations,"ﾠYashovardhan Investment & Trading Company Limitedﾠhas Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011.",03-Jun-2025 16:56:30,https://nsearchives.nseindia.com/corporate/team_bbodade_21052025161216_SUTLEJTEX.pdf,0.0,0.0,Neutral
LANDMARK,Analysts/Institutional Investor Meet/Con. Call Updates,"Landmark Cars Limited submitted exchange transcript of Earnings Conference Call held on May 29, 2025 at 05:30 PM to discuss the audited (standalone & consolidated) financial results for the quarter and year ended March 31, 2025. Disclosure is attached herewith.",03-Jun-2025 16:55:38,https://nsearchives.nseindia.com/corporate/LANDMARK_03062025165525_EarningsCallTranscript.pdf,-0.9999712358558099,0.9999791383743286,Negative
LTF,Shareholders meeting,"L&T Finance Limited has informed the Exchange regarding Proceedings of Annual General Meeting held on Jun 03, 2025",03-Jun-2025 16:55:32,https://nsearchives.nseindia.com/corporate/naguiyer_03062025165501_NSEBSEINTIMATION.pdf,-0.9999924381793335,0.9999948740005493,Negative
DIXON,Copy of Newspaper Publication,Dixon Technologies (India) Limited has informed the Exchange about Copy of Newspaper Publication,03-Jun-2025 16:55:14,https://nsearchives.nseindia.com/corporate/DIXON_03062025165504_PostalBallotNewspaperAdvertisement.pdf,-0.9999906136342815,0.9999938011169434,Negative
GLAND,Analysts/Institutional Investor Meet/Con. Call Updates,Gland Pharma Limited has informed the Exchange about Schedule of meet,03-Jun-2025 16:54:51,https://nsearchives.nseindia.com/corporate/GLAND_03062025165435_Analyst_Institutional_Investor_Meet_06062025.pdf,-0.9999955773639613,0.9999972581863403,Negative
